age,soph,junior,senior,senior5,male,campus,business,engineer,colGPA,hsGPA,ACT,job19,job20,drive,bike,walk,voluntr,PC,greek,car,siblings,bgfriend,clubs,skipped,alcohol,gradMI,fathcoll,mothcoll
21,0,0,1,0,No,0,1,0,3,3,21,0,1,1,0,0,0,0,0,1,1,0,0,2,1,1,0,0
21,0,0,1,0,No,0,1,0,3.400000095,3.200000048,24,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1
20,0,1,0,0,No,0,1,0,3,3.599999905,26,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1
19,1,0,0,0,Yes,1,1,0,3.5,3.5,27,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20,0,1,0,0,No,0,1,0,3.599999905,3.900000095,28,0,1,0,1,0,0,0,0,1,1,1,0,0,1.5,1,1,0
20,0,0,1,0,Yes,1,1,0,3,3.400000095,25,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
22,0,0,0,1,No,0,1,0,2.700000048,3.5,25,0,0,0,1,0,0,0,1,1,1,0,1,0,2,1,0,1
22,0,0,0,1,No,0,0,0,2.700000048,3,22,1,0,1,0,0,0,1,0,0,1,1,0,3,3,1,1,1
22,0,0,0,1,No,0,0,0,2.700000048,3,21,1,0,1,0,0,0,0,0,1,1,1,1,2,2.5,1,1,1
19,1,0,0,0,No,0,1,0,3.799999952,4,27,1,0,0,0,1,0,1,0,0,1,0,1,0.5,0.75,1,0,1
21,0,0,1,0,Yes,0,1,0,2.799999952,3,19,1,0,0,0,1,0,0,0,1,1,1,0,2,1,1,0,0
22,0,0,0,1,No,1,1,0,2.900000095,3.099999905,22,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1
21,0,0,1,0,No,1,1,0,3,3.5,23,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1
20,0,1,0,0,Yes,1,1,0,2.900000095,3.799999952,29,0,0,0,0,1,0,0,0,0,1,0,0,3,2.5,0,1,1
20,0,1,0,0,Yes,0,1,0,3.299999952,3.700000048,25,0,0,1,0,0,0,1,1,0,1,0,0,1,4,1,1,1
22,0,0,1,0,Yes,0,1,0,2.599999905,3,21,0,0,1,0,0,0,0,0,1,1,0,1,3,3.5,1,1,0
